Mauritania,population_density,4.477514311
Mauritius,population_density,634.1181773
Malawi,population_density,210.9645948
Malaysia,population_density,102.1880201
North America,population_density,20.64664493
Namibia,population_density,3.073219643
New Caledonia,population_density,14.79157549
Niger,population_density,19.93583485
Nigeria,population_density,234.3086872
Nicaragua,population_density,56.92654147
Netherlands,population_density,520.7319275
Norway,population_density,14.84700909
Nepal,population_density,209.5220719
Nauru,population_density,625.55
New Zealand,population_density,19.41209981
OECD members,population_density,38.82950337
Oman,population_density,14.60572213
Other small states,population_density,16.1002536
Pakistan,population_density,300.179168
Panama,population_density,58.65822324
Peru,population_density,26.34021172
Philippines,population_density,381.9308717
Palau,population_density,39.1826087
Papua New Guinea,population_density,21.970227
Poland,population_density,123.3163149
Pre-demographic dividend,population_density,49.78379646
Puerto Rico,population_density,367.834611
"Korea, Dem. People's Rep.",population_density,215.695615
Portugal,population_density,113.1135105
Paraguay,population_density,16.8733929
West Bank and Gaza,population_density,817.0537759
Pacific island small states,population_density,40.56388153
Post-demographic dividend,population_density,35.82367339
French Polynesia,population_density,87.5920484
Qatar,population_density,233.9630113
Romania,population_density,83.11047896
Russian Federation,population_density,8.800856452
Rwanda,population_density,545.6784759
South Asia,population_density,398.7135762
Saudi Arabia,population_density,16.72352572
Sudan,population_density,24.44175696
Senegal,population_density,87.6576118
Singapore,population_density,7595.495822
Solomon Islands,population_density,25.28942479
Sierra Leone,population_density,116.661693
El Salvador,population_density,304.7377896
San Marino,population_density,562.4166667
Somalia,population_density,27.20308126
Serbia,population_density,81.27394458
Sub-Saharan Africa (excluding high income),population_density,49.43674455
South Sudan,population_density,17.00864336
Sub-Saharan Africa,population_density,49.43994733
Small states,population_density,17.11324803
Sao Tome and Principe,population_density,232.403125
Suriname,population_density,3.929391026
Slovak Republic,population_density,113.2954867
Slovenia,population_density,104.6899644
Sweden,population_density,25.57385697
Eswatini,population_density,69.3180814
Sint Maarten (Dutch part),population_density,1254.941176
Seychelles,population_density,215.7782609
Syrian Arab Republic,population_density,116.1268148
Turks and Caicos Islands,population_density,47.48842105
Chad,population_density,13.64337675
East Asia & Pacific (IDA & IBRD countries),population_density,132.0851995
Europe & Central Asia (IDA & IBRD countries),population_density,20.11850054
Togo,population_density,158.941515
Thailand,population_density,140.1497446
Tajikistan,population_density,70.25047914
Turkmenistan,population_density,13.49531845
Latin America & the Caribbean (IDA & IBRD countries),population_density,32.09956057
Timor-Leste,population_density,88.83268325
Middle East & North Africa (IDA & IBRD countries),population_density,47.87726576
Tonga,population_density,147.2458333
South Asia (IDA & IBRD),population_density,398.7135762
Sub-Saharan Africa (IDA & IBRD countries),population_density,49.43994733
Trinidad and Tobago,population_density,297.4001949
Tunisia,population_density,78.93245366
Turkiye,population_density,109.3347687
Tuvalu,population_density,373.4666667
Tanzania,population_density,71.78633326
Uganda,population_density,228.6743367
Ukraine,population_density,75.63496893
Upper middle income,population_density,50.59531625
Uruguay,population_density,19.57639127
United States,population_density,36.29783633
Uzbekistan,population_density,79.23490819
St. Vincent and the Grenadines,population_density,267.5179487
"Venezuela, RB",population_density,31.97082592
British Virgin Islands,population_density,207.48
Virgin Islands (U.S.),population_density,302.4857143
Viet Nam,population_density,310.9732316
Vanuatu,population_density,26.1802297
World,population_density,60.78322133
Samoa,population_density,78.69208633
Kosovo,population_density,
"Yemen, Rep.",population_density,62.46877853
South Africa,population_density,48.95947951
Zambia,population_density,26.19503222
Zimbabwe,population_density,41.3429598
